material,cmi_worth_per_item,shop_file,shop_id,item_id,page,slot,command,quantity,listed_buy_price,shop_unit_price,cmi_worth_for_quantity,difference_total,difference_per_item,difference_percent,multiplier,publishable,policy_reasons
ACACIA_BOAT,1.23,survival_wood_products.yml,survival_wood_products,140,7,14,/buy survival_wood_products 7,1,123,123,1.23,121.77,121.77,9900,100,true,
ACACIA_BUTTON,0.23,survival_wood_products.yml,survival_wood_products,92,4,32,/buy survival_wood_products 4,1,23,23,0.23,22.77,22.77,9900,100,true,
ACACIA_CHEST_BOAT,2.27,survival_wood_products.yml,survival_wood_products,150,7,32,/buy survival_wood_products 7,1,227,227,2.27,224.73,224.73,9900,100,true,
ACACIA_DOOR,0.49,survival_wood_products.yml,survival_wood_products,68,3,32,/buy survival_wood_products 3,1,49,49,0.49,48.51,48.51,9900,100,true,
ACACIA_FENCE,0.39,survival_wood_products.yml,survival_wood_products,44,2,32,/buy survival_wood_products 2,1,39,39,0.39,38.61,38.61,9900,100,true,
ACACIA_FENCE_GATE,0.31,survival_wood_products.yml,survival_wood_products,56,3,14,/buy survival_wood_products 3,1,31,31,0.31,30.69,30.69,9900,100,true,
ACACIA_HANGING_SIGN,17.99,survival_wood_products.yml,survival_wood_products,128,6,14,/buy survival_wood_products 6,1,1799,1799,17.99,1781.01,1781.01,9900,100,true,
ACACIA_LEAVES,0.4,survival_farming_trees.yml,survival_farming_trees,14,1,25,/buy survival_farming_trees 1,1,40,40,0.4,39.6,39.6,9900,100,true,
ACACIA_LEAVES,0.4,survival_logs.yml,survival_logs,63,3,32,/buy survival_logs 3,1,40,40,0.4,39.6,39.6,9900,100,true,
ACACIA_LOG,1,survival_logs.yml,survival_logs,5,1,14,/buy survival_logs 1,1,100,100,1,99,99,9900,100,true,
ACACIA_PLANKS,0.23,survival_wood_products.yml,survival_wood_products,5,1,14,/buy survival_wood_products 1,1,23,23,0.23,22.77,22.77,9900,100,true,
ACACIA_PRESSURE_PLATE,0.48,survival_wood_products.yml,survival_wood_products,104,5,14,/buy survival_wood_products 5,1,48,48,0.48,47.52,47.52,9900,100,true,
ACACIA_SAPLING,0.31,survival_farming_trees.yml,survival_farming_trees,5,1,14,/buy survival_farming_trees 1,1,31,31,0.31,30.69,30.69,9900,100,true,
ACACIA_SAPLING,0.31,survival_logs.yml,survival_logs,52,3,21,/buy survival_logs 3,1,31,31,0.31,30.69,30.69,9900,100,true,
ACACIA_SHELF,0.99,survival_logs.yml,survival_logs,74,4,20,/buy survival_logs 4,1,99,99,0.99,98.01,98.01,9900,100,true,
ACACIA_SIGN,1.3,survival_wood_products.yml,survival_wood_products,116,5,32,/buy survival_wood_products 5,1,130,130,1.3,128.7,128.7,9900,100,true,
ACACIA_SLAB,0.11,survival_wood_products.yml,survival_wood_products,18,1,32,/buy survival_wood_products 1,1,11,11,0.11,10.89,10.89,9900,100,true,
ACACIA_STAIRS,0.36,survival_wood_products.yml,survival_wood_products,31,2,14,/buy survival_wood_products 2,1,36,36,0.36,35.64,35.64,9900,100,true,
ACACIA_TRAPDOOR,0.74,survival_wood_products.yml,survival_wood_products,80,4,14,/buy survival_wood_products 4,1,74,74,0.74,73.26,73.26,9900,100,true,
ACACIA_WOOD,1.31,survival_logs.yml,survival_logs,19,1,32,/buy survival_logs 1,1,131,131,1.31,129.69,129.69,9900,100,true,
ACTIVATOR_RAIL,2.87,survival_ores_redstone.yml,survival_ores_redstone,29,2,19,/buy survival_ores_redstone 2,1,287,287,2.87,284.13,284.13,9900,100,true,
AIR,0,,,,,,,,,,,,,,,false,not listed
ALLIUM,0.2,survival_farming_plants.yml,survival_farming_plants,4,1,13,/buy survival_farming_plants 1,1,20,20,0.2,19.8,19.8,9900,100,true,
AMETHYST_BLOCK,1.63,survival_ores_amethyst.yml,survival_ores_amethyst,6,1,15,/buy survival_ores_amethyst 1,1,163,163,1.63,161.37,161.37,9900,100,true,
AMETHYST_CLUSTER,4,survival_ores_amethyst.yml,survival_ores_amethyst,4,1,13,/buy survival_ores_amethyst 1,1,400,400,4,396,396,9900,100,true,
AMETHYST_SHARD,0.4,survival_ores_amethyst.yml,survival_ores_amethyst,5,1,14,/buy survival_ores_amethyst 1,1,40,40,0.4,39.6,39.6,9900,100,true,
ANCIENT_DEBRIS,62,survival_nether.yml,survival_nether,24,2,12,/buy survival_nether 2,1,6200,6200,62,6138,6138,9900,100,true,
ANCIENT_DEBRIS,62,survival_ores_netherite.yml,survival_ores_netherite,4,1,13,/buy survival_ores_netherite 1,1,6200,6200,62,6138,6138,9900,100,true,
ANDESITE,0.33,survival_blocks.yml,survival_blocks,9,1,20,/buy survival_blocks 1,1,33,33,0.33,32.67,32.67,9900,100,true,
ANDESITE_SLAB,0.33,,,,,,,,,,,,,,,false,not listed
ANDESITE_STAIRS,0.33,,,,,,,,,,,,,,,false,not listed
ANDESITE_WALL,0.33,,,,,,,,,,,,,,,false,not listed
ANGLER_POTTERY_SHERD,25,survival_sherds.yml,survival_sherds,1,1,10,/buy survival_sherds 1,1,2500,2500,25,2475,2475,9900,100,true,
ANVIL,88.45,survival_ores_iron.yml,survival_ores_iron,10,1,21,/buy survival_ores_iron 1,1,8845,8845,88.45,8756.55,8756.55,9900,100,true,
APPLE,1.76,survival_food.yml,survival_food,1,1,10,/buy survival_food 1,1,176,176,1.76,174.24,174.24,9900,100,true,
ARCHER_POTTERY_SHERD,25,survival_sherds.yml,survival_sherds,2,1,11,/buy survival_sherds 1,1,2500,2500,25,2475,2475,9900,100,true,
ARMADILLO_SCUTE,1.5,survival_mobdrops.yml,survival_mobdrops,22,2,10,/buy survival_mobdrops 2,1,150,150,1.5,148.5,148.5,9900,100,true,
ARMOR_STAND,0.8,,,,,,,,,,,,,,,false,not listed
ARMS_UP_POTTERY_SHERD,25,survival_sherds.yml,survival_sherds,3,1,12,/buy survival_sherds 1,1,2500,2500,25,2475,2475,9900,100,true,
ARROW,0.09,survival_weapons.yml,survival_weapons,16,2,12,/buy survival_weapons 2,1,9,9,0.09,8.91,8.91,9900,100,true,
AXOLOTL_BUCKET,10,,,,,,,,,,,,,,,false,not listed
AZALEA,10,survival_farming_plants.yml,survival_farming_plants,27,1,42,/buy survival_farming_plants 1,1,1000,1000,10,990,990,9900,100,true,
AZALEA_LEAVES,0.4,survival_farming_trees.yml,survival_farming_trees,19,1,32,/buy survival_farming_trees 1,1,40,40,0.4,39.6,39.6,9900,100,true,
AZALEA_LEAVES,0.4,survival_logs.yml,survival_logs,65,3,34,/buy survival_logs 3,1,40,40,0.4,39.6,39.6,9900,100,true,
AZURE_BLUET,0.2,survival_farming_plants.yml,survival_farming_plants,5,1,14,/buy survival_farming_plants 1,1,20,20,0.2,19.8,19.8,9900,100,true,
BAKED_POTATO,0.92,survival_food.yml,survival_food,2,1,11,/buy survival_food 1,1,92,92,0.92,91.08,91.08,9900,100,true,
BAMBOO,0.05,survival_farming_crops.yml,survival_farming_crops,17,1,30,/buy survival_farming_crops 1,1,5,5,0.05,4.95,4.95,9900,100,true,
BAMBOO,0.05,survival_ores_coal.yml,survival_ores_coal,9,1,20,/buy survival_ores_coal 1,1,5,5,0.05,4.95,4.95,9900,100,true,
BAMBOO_BLOCK,0.45,survival_blocks.yml,survival_blocks,42,2,34,/buy survival_blocks 2,1,45,45,0.45,44.55,44.55,9900,100,true,
BAMBOO_BUTTON,0.22,survival_wood_products.yml,survival_wood_products,97,4,39,/buy survival_wood_products 4,1,22,22,0.22,21.78,21.78,9900,100,true,
BAMBOO_CHEST_RAFT,2.16,survival_wood_products.yml,survival_wood_products,155,7,39,/buy survival_wood_products 7,1,216,216,2.16,213.84,213.84,9900,100,true,
BAMBOO_DOOR,0.44,survival_wood_products.yml,survival_wood_products,73,3,39,/buy survival_wood_products 3,1,44,44,0.44,43.56,43.56,9900,100,true,
BAMBOO_FENCE,0.36,survival_wood_products.yml,survival_wood_products,49,2,39,/buy survival_wood_products 2,1,36,36,0.36,35.64,35.64,9900,100,true,
BAMBOO_FENCE_GATE,0.85,survival_wood_products.yml,survival_wood_products,61,3,21,/buy survival_wood_products 3,1,85,85,0.85,84.15,84.15,9900,100,true,
BAMBOO_HANGING_SIGN,17.96,survival_wood_products.yml,survival_wood_products,133,6,21,/buy survival_wood_products 6,1,1796,1796,17.96,1778.04,1778.04,9900,100,true,
BAMBOO_MOSAIC,0.22,survival_wood_products.yml,survival_wood_products,13,1,24,/buy survival_wood_products 1,1,22,22,0.22,21.78,21.78,9900,100,true,
BAMBOO_MOSAIC_SLAB,0.11,survival_wood_products.yml,survival_wood_products,26,1,42,/buy survival_wood_products 1,1,11,11,0.11,10.89,10.89,9900,100,true,
BAMBOO_MOSAIC_STAIRS,0.33,survival_wood_products.yml,survival_wood_products,39,2,24,/buy survival_wood_products 2,1,33,33,0.33,32.67,32.67,9900,100,true,
BAMBOO_PLANKS,0.22,survival_wood_products.yml,survival_wood_products,10,1,21,/buy survival_wood_products 1,1,22,22,0.22,21.78,21.78,9900,100,true,
BAMBOO_PRESSURE_PLATE,0.44,survival_wood_products.yml,survival_wood_products,109,5,21,/buy survival_wood_products 5,1,44,44,0.44,43.56,43.56,9900,100,true,
BAMBOO_RAFT,1.12,survival_wood_products.yml,survival_wood_products,145,7,21,/buy survival_wood_products 7,1,112,112,1.12,110.88,110.88,9900,100,true,
BAMBOO_SHELF,0.99,survival_logs.yml,survival_logs,79,4,25,/buy survival_logs 4,1,99,99,0.99,98.01,98.01,9900,100,true,
BAMBOO_SIGN,0.48,survival_wood_products.yml,survival_wood_products,121,5,39,/buy survival_wood_products 5,1,48,48,0.48,47.52,47.52,9900,100,true,
BAMBOO_SLAB,0.11,survival_wood_products.yml,survival_wood_products,23,1,39,/buy survival_wood_products 1,1,11,11,0.11,10.89,10.89,9900,100,true,
BAMBOO_STAIRS,0.33,survival_wood_products.yml,survival_wood_products,36,2,21,/buy survival_wood_products 2,1,33,33,0.33,32.67,32.67,9900,100,true,
BAMBOO_TRAPDOOR,0.67,survival_wood_products.yml,survival_wood_products,85,4,21,/buy survival_wood_products 4,1,67,67,0.67,66.33,66.33,9900,100,true,
BARREL,1.44,,,,,,,,,,,,,,,false,not listed
BARRIER,0.1,,,,,,,,,,,,,,,false,not listed
BASALT,1,survival_blocks.yml,survival_blocks,50,3,19,/buy survival_blocks 3,1,100,100,1,99,99,9900,100,true,
BASALT,1,survival_nether.yml,survival_nether,4,1,13,/buy survival_nether 1,1,100,100,1,99,99,9900,100,true,
BEACON,10218.56,survival_misc.yml,survival_misc,37,2,38,/buy survival_misc 2,1,1021856,1021856,10218.56,1011637.44,1011637.44,9900,100,true,
BEDROCK,100,,,,,,,,,,,,,,,false,not listed
BEEF,0.2,survival_food.yml,survival_food,30,2,20,/buy survival_food 2,1,20,20,0.2,19.8,19.8,9900,100,true,
BEEHIVE,13.46,,,,,,,,,,,,,,,false,not listed
BEETROOT,0.2,survival_farming_crops.yml,survival_farming_crops,11,1,22,/buy survival_farming_crops 1,1,20,20,0.2,19.8,19.8,9900,100,true,
BEETROOT,0.2,survival_food.yml,survival_food,3,1,12,/buy survival_food 1,1,20,20,0.2,19.8,19.8,9900,100,true,
BEETROOT_SEEDS,0.2,survival_farming_crops.yml,survival_farming_crops,4,1,13,/buy survival_farming_crops 1,1,20,20,0.2,19.8,19.8,9900,100,true,
BEETROOT_SOUP,1.39,survival_food.yml,survival_food,4,1,13,/buy survival_food 1,1,139,139,1.39,137.61,137.61,9900,100,true,
BEE_NEST,30,,,,,,,,,,,,,,,false,not listed
BELL,450,survival_ores_gold.yml,survival_ores_gold,25,2,13,/buy survival_ores_gold 2,1,45000,45000,450,44550,44550,9900,100,true,
BIG_DRIPLEAF,1,survival_farming_plants.yml,survival_farming_plants,49,2,34,/buy survival_farming_plants 2,1,100,100,1,99,99,9900,100,true,
BIRCH_BOAT,1.23,survival_wood_products.yml,survival_wood_products,138,7,12,/buy survival_wood_products 7,1,123,123,1.23,121.77,121.77,9900,100,true,
BIRCH_BUTTON,0.23,survival_wood_products.yml,survival_wood_products,90,4,30,/buy survival_wood_products 4,1,23,23,0.23,22.77,22.77,9900,100,true,
BIRCH_CHEST_BOAT,2.27,survival_wood_products.yml,survival_wood_products,148,7,30,/buy survival_wood_products 7,1,227,227,2.27,224.73,224.73,9900,100,true,
BIRCH_DOOR,0.49,survival_wood_products.yml,survival_wood_products,66,3,30,/buy survival_wood_products 3,1,49,49,0.49,48.51,48.51,9900,100,true,
BIRCH_FENCE,0.39,survival_wood_products.yml,survival_wood_products,42,2,30,/buy survival_wood_products 2,1,39,39,0.39,38.61,38.61,9900,100,true,
BIRCH_FENCE_GATE,0.31,survival_wood_products.yml,survival_wood_products,54,3,12,/buy survival_wood_products 3,1,31,31,0.31,30.69,30.69,9900,100,true,
BIRCH_HANGING_SIGN,17.99,survival_wood_products.yml,survival_wood_products,126,6,12,/buy survival_wood_products 6,1,1799,1799,17.99,1781.01,1781.01,9900,100,true,
BIRCH_LEAVES,0.4,survival_farming_trees.yml,survival_farming_trees,12,1,23,/buy survival_farming_trees 1,1,40,40,0.4,39.6,39.6,9900,100,true,
BIRCH_LEAVES,0.4,survival_logs.yml,survival_logs,61,3,30,/buy survival_logs 3,1,40,40,0.4,39.6,39.6,9900,100,true,
BIRCH_LOG,1,survival_logs.yml,survival_logs,3,1,12,/buy survival_logs 1,1,100,100,1,99,99,9900,100,true,
BIRCH_PLANKS,0.23,survival_wood_products.yml,survival_wood_products,3,1,12,/buy survival_wood_products 1,1,23,23,0.23,22.77,22.77,9900,100,true,
BIRCH_PRESSURE_PLATE,0.48,survival_wood_products.yml,survival_wood_products,102,5,12,/buy survival_wood_products 5,1,48,48,0.48,47.52,47.52,9900,100,true,
BIRCH_SAPLING,0.31,survival_farming_trees.yml,survival_farming_trees,3,1,12,/buy survival_farming_trees 1,1,31,31,0.31,30.69,30.69,9900,100,true,
BIRCH_SAPLING,0.31,survival_logs.yml,survival_logs,50,3,19,/buy survival_logs 3,1,31,31,0.31,30.69,30.69,9900,100,true,
BIRCH_SHELF,0.99,survival_logs.yml,survival_logs,72,4,16,/buy survival_logs 4,1,99,99,0.99,98.01,98.01,9900,100,true,
BIRCH_SIGN,1.3,survival_wood_products.yml,survival_wood_products,114,5,30,/buy survival_wood_products 5,1,130,130,1.3,128.7,128.7,9900,100,true,
BIRCH_SLAB,0.11,survival_wood_products.yml,survival_wood_products,16,1,30,/buy survival_wood_products 1,1,11,11,0.11,10.89,10.89,9900,100,true,
BIRCH_STAIRS,0.36,survival_wood_products.yml,survival_wood_products,29,2,12,/buy survival_wood_products 2,1,36,36,0.36,35.64,35.64,9900,100,true,
BIRCH_TRAPDOOR,0.74,survival_wood_products.yml,survival_wood_products,78,4,12,/buy survival_wood_products 4,1,74,74,0.74,73.26,73.26,9900,100,true,
BIRCH_WOOD,1.31,survival_logs.yml,survival_logs,17,1,30,/buy survival_logs 1,1,131,131,1.31,129.69,129.69,9900,100,true,
BLACKSTONE,0.4,survival_blackstone.yml,survival_blackstone,1,1,10,/buy survival_blackstone 1,1,40,40,0.4,39.6,39.6,9900,100,true,
BLACKSTONE,0.4,survival_nether.yml,survival_nether,6,1,15,/buy survival_nether 1,1,40,40,0.4,39.6,39.6,9900,100,true,
