plugin,project,scope_group,fresh_install_default,01_Notification policy,02_Action cards,03_Blocker recovery,04_Reward communication,05_Plugin next,06_Global next hub,07_Pinned focus,08_First-success checklist,09_Progression preview,10_Streak guidance,11_Focused welcome,12_Community contribution,adopted_or_existing_scope,followup,source_evidence,plugin_documentation
Core,libs:1mb-cmiapi-lib,Shared runtime,Required core,Shared support,Shared support,Shared support,Shared support,Shared support,Shared support,Shared support,Shared support,Shared support,Shared support,Shared support,Shared support,"Shared Library owns controls, provider registries, presentation types, persistence, focus, first-step invitations and the one welcome coordinator. Features supply truthful state and outcomes.",Availability of a shared API or inherited permission/reward guard does not migrate every custom message.,libs/1mb-cmiapi-lib/src/main/java/com/onemb/cmiapi/lib/AbstractCmiApiFeaturePlugin.java:238; libs/1mb-cmiapi-lib/src/main/java/com/onemb/cmiapi/lib/FeatureMessages.java:45; libs/1mb-cmiapi-lib/src/main/java/com/onemb/cmiapi/lib/AbstractCmiApiFeaturePlugin.java:174; libs/1mb-cmiapi-lib/src/main/java/com/onemb/cmiapi/lib/AbstractCmiApiFeaturePlugin.java:180; libs/1mb-cmiapi-lib/src/main/java/com/onemb/cmiapi/lib/guidance/FirstStepsService.java:79; libs/1mb-cmiapi-lib/src/main/java/com/onemb/cmiapi/lib/guidance/FirstStepsService.java:232,docs/plugins/1mb-cmiapi-lib.md
BedrockChatBridge,plugins:generic:bedrockchatbridge,Staff / infrastructure,Enabled,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/generic/bedrockchatbridge/src/main/java/com/onemb/cmiapi/bedrockchatbridge/BedrockChatBridgePlugin.java,docs/plugins/bedrockchatbridge.md
CMIDatabase,plugins:generic:cmidatabase,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/generic/cmidatabase/src/main/java/com/onemb/cmiapi/cmidatabase/CMIDatabasePlugin.java,docs/plugins/README.md
CMIProbe,plugins:generic:cmiprobe,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/generic/cmiprobe/src/main/java/com/onemb/cmiapi/cmiprobe/CmiProbePlugin.java,docs/plugins/cmiprobe.md
EventRecorder,plugins:generic:eventrecorder,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/generic/eventrecorder/src/main/java/com/onemb/cmiapi/eventrecorder/EventRecorderPlugin.java,docs/plugins/eventrecorder.md
PermissionProbe,plugins:generic:permissionprobe,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/generic/permissionprobe/src/main/java/com/onemb/cmiapi/permissionprobe/PermissionProbePlugin.java,docs/plugins/permissionprobe.md
Placeholders,plugins:generic:placeholders,Staff / infrastructure,Enabled,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/generic/placeholders/src/main/java/com/onemb/cmiapi/placeholders/PlaceholdersPlugin.java,docs/plugins/placeholders.md
AFKShrine,plugins:player-fun:afkshrine,Player activity,Enabled,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,"Existing return postcards, rotating AFK bossbar, pending-token claims/trades, quests, milestones, streaks and shared community milestones; none of the new next/focus/checklist providers is registered.","Strong integration candidate: saved pending claims and one chosen goal first. Preserve its AFK-exit semantics, expiry/recovery rules and existing community/tournament outcomes.",plugins/player-fun/afkshrine/src/main/java/com/onemb/cmiapi/afkshrine/AfkShrinePlugin.java,docs/plugins/afkshrine.md
Appreciation,plugins:player-fun:appreciation,Player activity,Dormant,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,"Existing durable gift inbox, claim controls, preferences, badges, permanent point unlocks and qualifying seven-day sending streaks.",Prioritise claim/recovery clarity; review optional reminders without pressuring players to spend gifts or send thanks to maintain a streak.,plugins/player-fun/appreciation/src/main/java/com/onemb/cmiapi/appreciation/AppreciationPlugin.java,docs/plugins/appreciation.md
AutoSell,plugins:player-fun:autosell,Player activity,Enabled,Partial,Partial,Partial,Partial,Adopted,Adopted,Adopted,Adopted,Candidate,Not applicable,Adopted,Not applicable,"Ready manual-quest hints; quest/milestone cards, recovery and reward outcomes; current quest/milestone recommendations and focus; first sale checklist; started progress or ready rewards in welcome.","Broker levels, cap purchases and other sale/activity feedback remain separate adoption candidates. AutoSell is not SellStreaks.",plugins/player-fun/autosell/src/main/java/com/onemb/cmiapi/autosell/AutoSellPlugin.java:3171; plugins/player-fun/autosell/src/main/java/com/onemb/cmiapi/autosell/AutoSellPlugin.java:3128; plugins/player-fun/autosell/src/main/java/com/onemb/cmiapi/autosell/AutoSellPlugin.java:3106; plugins/player-fun/autosell/src/main/java/com/onemb/cmiapi/autosell/AutoSellPlugin.java:3201; plugins/player-fun/autosell/src/main/java/com/onemb/cmiapi/autosell/AutoSellActionCards.java:3; plugins/player-fun/autosell/src/main/java/com/onemb/cmiapi/autosell/AutoSellPlugin.java:955; plugins/player-fun/autosell/src/main/java/com/onemb/cmiapi/autosell/AutoSellPlugin.java:2854; plugins/player-fun/autosell/src/main/java/com/onemb/cmiapi/autosell/AutoSellPlugin.java:762; plugins/player-fun/autosell/src/main/java/com/onemb/cmiapi/autosell/AutoSellPlugin.java:2875,docs/plugins/autosell.md
